,text,user
0,@JoeBiden When you going to address tucker Carlson interview??,Kubiesnacks
1,@JoeBiden Yes it is,Mashrur79254532
2,RT @mallen2010: @JoeBiden https://t.co/xkOfMYIHiw,lockbidenup
3,@JoeBiden Jackass!,TheSteveODell70
4,RT @ScottPresler: @JoeBiden Ask your supporters to stop destroying Philly.   How does looting businesses meant for the black community   he…,PhelanGinger
5,@JoeBiden You don’t give a shit about him or the victims of his many crimes - that is who you should have broken heart for,AJ12851452
6,"@JoeBiden Everything in your covid plan Trump is already doing. Except any of the ""national mandates"" you wish to i… https://t.co/inZKAqobKL",kkjohnson0318
7,"@JoeBiden Mr. Biden, ever heard of King Canute?",mgsholaas
8,RT @BobPersis: @JoeBiden Judge Sullivan further ordered that Trump sycophant Louis DeJoy  send Judge Sullivan **daily** updates on the numb…,beatlebabe49
9,"@JoeBiden Beside weong think, Will anything be a crime in your administration?",MLFresh
10,"RT @JeffreyGuterman: @JoeBiden We are in the home stretch, Please encourage every Democrat you know to #VOTE #BidenHarris2020.",DBusters_
11,@JoeBiden claiming to be enemy of God the Father and his Sun the world kno that saying virus or crisis is talking b… https://t.co/klh4ZGyNnl,jameswi58187282
12,@JoeBiden Where is Hunter??,ParrottDale
13,@JoeBiden Any statement on the riots in Philly the past 2 nights? Just going to passively support that?,AbundantSarcasm
14,@JoeBiden Please #VoteBlueToSaveAmerica,kkinsbca
15,"RT @BobPersis: @JoeBiden Remember Judge Sullivan?  Last night, he ordered USPS to reverse limitations on mail collection (imposed by Trump…",beatlebabe49
16,@JoeBiden Biden: Corrupt. Traitor. Criminal.,JPHMarx
17,"@JoeBiden YES, WE CAN !!!!!!",justnarto
18,@JoeBiden 💩💩💩💩,AABG001
19,@JoeBiden Justice isn’t done in the court of public opinion but in the court of law. Apparently Biden &amp; liberals co… https://t.co/OfvUE6PkKF,AZRetirees
20,@JoeBiden U need to be impeached https://t.co/RYZ0YO7p7t,_LoadingContent
21,@JoeBiden Then do it🤷🏼‍♂️,patriotennr1
22,@JoeBiden Go Biden go,nunez_briones
23,RT @BradleyWhitford: @JoeBiden’s not gonna leave anyone out in the cold.,RaptureSquirre1
24,@JoeBiden Drop them off. Too late to mail.,jmesd
25,RT @EricMMatheny: @JoeBiden It’s one thing to tweet about it. It’s another to give $150 billion to a regime that criminalizes homosexuality.,BryonWine
26,RT @JHTX77: @JoeBiden - Any comment Big Guy?? You owe it to all Americans.  @realDonaldTrump #VoteRedToSaveAmerica2020  #Biden  #BidenHarri…,IminHisbook
27,@JoeBiden https://t.co/hg0PpAR1wR,SosCali916
28,@JoeBiden Sounds great looks like trump is for sure gonna lose this time,Mashrur79254532
29,RT @ScottPresler: @JoeBiden Ask your supporters to stop destroying Philly.   How does looting businesses meant for the black community   he…,IlikeTurtles809
30,@JoeBiden https://t.co/3YbU3I5m5s,PrincessRNSC
31,@JoeBiden Yes We Can!,thumpernovember
32,RT @AdamInHTownTX: @JoeBiden So Joe Biden endorses people charging at a police officer with a knife.,meshella18
33,"RT @Dknight10k: @JoeBiden There's Trump, who is literally spreading the virus, death, and destruction and then there's Biden, who wants to…",DBusters_
34,"@JoeBiden I’m sure with your memory lately, you’ll probably forget by this evening. https://t.co/16QYfca3Me",ACBoston77
35,@JoeBiden So why have you been pushing divide for 3.5 years.   Not once have you said anything that would actually… https://t.co/ljfm76Ow84,Skote1380
36,@JoeBiden It’s 12:00.... have u called a “LID” for the day?,Goshen56
37,"RT @ArthurSchwartz: @JoeBiden You’re “compromised” by the Chinese Communist Party, you despicable traitor.  https://t.co/StWimNsUCx",Woke2008
