,text,user
0,@realDonaldTrump https://t.co/SGghHawNrB,huntfornancy
1,@realDonaldTrump https://t.co/c7J7gsXx88,BabsBray
2,@realDonaldTrump You mispelled enforcer.,LarryPfalzer
3,@realDonaldTrump It's a real issue that's why. Cases are going back up in the Midwest. What the actual fuck is your issue???,imhere_82
4,@realDonaldTrump Army for Trump? Isn't this in itself trying to intimidate voters? Which is it an Army for Trump or… https://t.co/HKHRLgYwlw,nottubs
5,@realDonaldTrump Are they still there?,Hellatiight
6,@realDonaldTrump Failing businesses - from casinos to fake universities. Never a real succes to show,PeterMortense17
7,"RT @HKrassenstein: @realDonaldTrump @TuckerCarlson Dude, you literally have a secret Chinese bank account, and a foreign bank forgave $200…",David2004466747
8,@realDonaldTrump @TuckerCarlson 🤣😂😂🤣🤣🤣😂🤣😂🤣🤣🤣🤣 MOST MEDIA OUTLETS LIKE TO PUBLISH FACTS DONALD....... NOT THE ADDLED… https://t.co/t3OIp5YMIj,Yukyuk23388529
9,"@realDonaldTrump @TuckerCarlson ""America needs a President."" - Joe Biden #VoteBidenHarrisToSaveAmerica https://t.co/PaK1k3qleB",BlissvilleRoad
10,@realDonaldTrump @TuckerCarlson They take it down right away and try tonprove it wrong yup a bunch of losersss! No one can hode the truth!,George35240505
11,@realDonaldTrump https://t.co/YOjWmr8qJr,Pfhals
12,"RT @RepsForBiden: @realDonaldTrump Why are you boasting about your big mask-less rallies during a deadly pandemic when 1,000 Americans die…",MalikGibbons
13,@realDonaldTrump @TuckerCarlson COVID COVID COVID... Healthcare Healthcare Healthcare... We're dying out here. Wher… https://t.co/kFep7Fwx62,CharlieRambles
14,@realDonaldTrump Bro you got little dick energy,CollingtonTurik
15,"RT @cktailgrl: @realDonaldTrump This is horrible embarrassment for you, Don.  Even Fox couldn't hold off reporting about it. https://t.co/6…",Renda63394112
16,@realDonaldTrump stop downplaying the virus talk about all the things you have done the cupboards were bare you got… https://t.co/m5ETNZU4Yt,mary63528065
17,@realDonaldTrump @TuckerCarlson https://t.co/B3z4r7NdfM,trinkity88
18,RT @RWTrollPatrol: @realDonaldTrump @TuckerCarlson New Biden campaign ad narrated by Sam Elliott.   We can do this America! Get out and #Vo…,travis_tballz88
19,@realDonaldTrump @globalnews enjoy!,manuel_fig_del
20,"@realDonaldTrump @TuckerCarlson this type of @Twitter action makes an accomplice of crime in the USA, as well as in Brazil.",psiliberal
21,@realDonaldTrump Projection of the highest magnitude.,OopsOFacto
22,"RT @wdunlap: @realDonaldTrump @TuckerCarlson Christine Blasey Ford: ""I have no witnesses, no details, and no evidence"" Media: ""Extremely Cr…",IanSharar
